,sentence
0,she's preparing a meal .
1,I'm going to hafta quit reading this because this is shining on this +/.
2,getting my .
3,.
4,.
5,this string is not on this is it ?
6,yes .
7,they're reaching up for a cookie in cookie jar .
8,and they're cooking a turkey dinner I guess .
9,cooking a turkey dinner .
10,she's doing the dishes .
11,this little boy might fall off of that stool he's on .
12,and the water's splashing out all over the floor and she doesn't know it .
13,he's looking for the cookie jar and he might bang his head on the thing by the door .
