,sentence
0,well the sink's overflowing .
1,and the stool's tippin(g) over with the boy on it .
2,he's takin(g) down a cookie .
3,he has one in his hand he's gonna hand to the girl .
4,and everything else looks like it's fixed .
5,the woman's wipin(g) the dishes .
6,there's three dishes settin(g) on the counter .
7,a cupboard door's open of_course or he couldn't get the cookies .
8,the little girl's pointin(g) to her mouth .
9,and I think I mentioned that the boy has one cookie in his left hand and just grabbin(g) one with his right hand .
