,sentence
0,"somebody's getting cookies out_of the cookie jar , standing on a stool ."
1,the stool's gonna tip over .
2,"and the girl's saying +""/."
3,shh don't let somebody hear .
4,and the mother's drying dishes .
5,the water's running out into the floor .
6,cups and plates are sitting on the counter .
7,you can look out the window and see the shrubbery .
8,the lid's sideways from the cookie jar .
9,the door is open on the cabinet .
10,mother apparently doesn't really notice well enough .
11,curtains are hanging on the window .
12,the window is open .
